Marsupiomonas_sp._NIES_1824	Chlorophyta	Pedinophyceae	-	Marsupiomonadales	Marsupiomonadaceae	KM462870	OUT
Botryococcus_braunii	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Botryococcaceae	KM462884	OUT
Elliptochloris_bilobata	Chlorophyta	Trebouxiophyceae	-	Prasiolales	na	KM462887	OUT
Trebouxiophyceae_sp._MX_AZ01	Chlorophyta	Trebouxiophyceae	-	na	na	NC_018569	OUT
Coccomyxa_subellipsoidea	Chlorophyta	Trebouxiophyceae	-	na	Coccomyxaceae	NC_015084	OUT
Paradoxia_multiseta	Chlorophyta	Trebouxiophyceae	-	na	Coccomyxaceae	KM462879	OUT
Cyanophora_paradoxa	Glaucophyta	Glaucophyceae	-	Glaucocystales	Glaucocystaceae	NC_001675	OUT
Galdieria_sulphuraria	Rhodophyta	Cyanidiophyceae	-	Cyanidiales	Galdieriaceae	NC_024665	IN
Gracilaria_lemaneiformis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gracilariales	Gracilariaceae	KP330491	IN
Pyropia_yezoensis	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	KC517072	IN
Rhodochaete_parvula	Rhodophyta	Compsopogonophyceae	-	Rhodochaetales	Rhodochaetaceae	KX284728	IN
Calliarthron_tuberculosum	Rhodophyta	Florideophyceae	Carollinophycidae	Corallinales	Corallinaceae	NC_021075	IN
Chondrus_crispus	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gigartinales	Gigartinaceae	NC_020795	IN
Cyanidioschyzon_merolae	Rhodophyta	Cyanidiophyceae	-	Cyanidiales	Cyanidiaceae	NC_004799	IN
Cyanidium_caldarium	Rhodophyta	Cyanidiophyceae	-	Cyanidiales	Cyanidiaceae	NC_001840	IN
Hildenbrandia_rubra	Rhodophyta	Florideophyceae	Hildenbrandiophycidae	Hildenbrandiales	Hildenbrandiaceae	KX284724	IN
Palmaria_palmata	Rhodophyta	Florideophyceae	Nemaliophycidae	Palmariales	Palmariaceae	KX284726	IN
Porphyra_purpurea	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_000925	IN
Porphyra_umbilicalis	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_035573	IN
Porphyridium_purpureum	Rhodophyta	Porphyridiophyceae	-	Porphyridiales	Porphyridiaceae	NC_023133	IN
Compsopogon_coeruleus	Rhodophyta	Compsopogonophyceae	-	Compsopogonales	Compsopogonaceae	KY083067	IN
Galaxaura_rugosa	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Galaxauraceae	NC_031657	IN
Gracilaria_salicornia	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gracilariales	Gracilariaceae	NC_023785	IN
Gracilaria_tenuistipitata_var._liui	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gracilariales	Gracilariaceae	NC_006137	IN
Gracilaria_chilensis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gracilariales	Gracilariaceae	NC_029860	IN
Grateloupia_taiwanensis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Halymeniales	Halymeniaceae	NC_021618	IN
Helminthocladia_australis	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Liagoraceae	NC_031658	IN
Kumanoa_americana	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	NC_031178	IN
Laurencia_snackeyi	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	LN833431	IN
Liagora_brachyclada	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Liagoraceae	NC_031667	IN
Liagoropsis_maxima	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Liagoropsidaceae	NC_031662	IN
Nemalion_sp.	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Nemaliaceae	LT622871	IN
Porphyra_pulchra	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_029861	IN
Scinaia_undulata	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Scinaiaceae	NC_031664	IN
Sheathia_arcuata	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	KY033529	IN
Sporolithon_durum	Rhodophyta	Florideophyceae	Carollinophycidae	Sporolithales	Sporolithaceae	NC_029857	IN
Thorea_hispida	Rhodophyta	Florideophyceae	Nemaliophycidae	Thoreales	Thoreaceae	KY083065	IN
Vertebrata_lanosa	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	NC_026523	IN
Yamadaella_caenomyce	Rhodophyta	Florideophyceae	Nemaliophycidae	Nemaliales	Yamadaellaceae	NC_031666	IN
Ahnfeltia_plicata	Rhodophyta	Florideophyceae	Ahnfeltiophycidae	Ahnfeltiales	Ahnfeltiaceae	KX284715	IN
Apophlaea_sinclairii	Rhodophyta	Florideophyceae	Hildenbrandiophycidae	Hildenbrandiales	Hildenbrandiaceae	KX284716	IN
Asparagopsis_taxiformis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Bonnemaisoniales	Bonnemaisoniaceae	KX284717	IN
Bangia_atropurpurea	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_030221	IN
Bangia_fuscopurpurea	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	KP714733	IN
Bangiopsis_subsimplex	Rhodophyta	Stylonematophyceae	-	Stylonematales	Stylonemataceae	KX284718	IN
Ceramium_japonicum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Ceramiaceae	KX284719	IN
Coeloseira_compressa	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Rhodymeniales	Champiaceae	NC_030338	IN
Cyanidium_sp._OTU1	Rhodophyta	Cyanidiophyceae	-	Cyanidiales	Cyanidiaceae	KJ569775	IN
Erythrotrichia_carnea	Rhodophyta	Compsopogonophyceae	-	Erythropeltales	Erythrotrichiaceae	KX284721	IN
Gelidium_elegans	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gelidiales	Gelidiaceae	NC_029858	IN
Gelidium_vagum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gelidiales	Gelidiaceae	NC_029859	IN
Gracilaria_chorda	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Gracilariales	Gracilariaceae	KX284722	IN
Hildenbrandia_rivularis	Rhodophyta	Florideophyceae	Hildenbrandiophycidae	Hildenbrandiales	Hildenbrandiaceae	KX284723	IN
